GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US08031001702,8031001702,"Census Tract 17.02, Denver County, Colorado",1977,7
1400000US08031001800,8031001800,"Census Tract 18, Denver County, Colorado",1981,2
1400000US08031001901,8031001901,"Census Tract 19.01, Denver County, Colorado",1939-,***
1400000US08031001902,8031001902,"Census Tract 19.02, Denver County, Colorado",1968,8
1400000US08031002000,8031002000,"Census Tract 20, Denver County, Colorado",2002,2
1400000US08031002100,8031002100,"Census Tract 21, Denver County, Colorado",1939-,***
1400000US08031002300,8031002300,"Census Tract 23, Denver County, Colorado",1939-,***
1400000US08031002402,8031002402,"Census Tract 24.02, Denver County, Colorado",1939-,***
1400000US08031002403,8031002403,"Census Tract 24.03, Denver County, Colorado",1981,13
1400000US08031002601,8031002601,"Census Tract 26.01, Denver County, Colorado",1973,8
1400000US08031002602,8031002602,"Census Tract 26.02, Denver County, Colorado",1999,4
1400000US08031002701,8031002701,"Census Tract 27.01, Denver County, Colorado",1939-,***
1400000US08031002702,8031002702,"Census Tract 27.02, Denver County, Colorado",1964,2
1400000US08031002703,8031002703,"Census Tract 27.03, Denver County, Colorado",1946,11
1400000US08031002801,8031002801,"Census Tract 28.01, Denver County, Colorado",1940,7
1400000US08031002802,8031002802,"Census Tract 28.02, Denver County, Colorado",1951,6
1400000US08031002803,8031002803,"Census Tract 28.03, Denver County, Colorado",1966,3
1400000US08031002901,8031002901,"Census Tract 29.01, Denver County, Colorado",1939-,***
1400000US08031002902,8031002902,"Census Tract 29.02, Denver County, Colorado",1939-,***
1400000US08031003001,8031003001,"Census Tract 30.01, Denver County, Colorado",1939-,***
1400000US08031003002,8031003002,"Census Tract 30.02, Denver County, Colorado",1951,3
1400000US08031003003,8031003003,"Census Tract 30.03, Denver County, Colorado",1953,11
1400000US08031003004,8031003004,"Census Tract 30.04, Denver County, Colorado",1957,2
1400000US08031003101,8031003101,"Census Tract 31.01, Denver County, Colorado",1939-,***
1400000US08031003102,8031003102,"Census Tract 31.02, Denver County, Colorado",1964,11
1400000US08031003201,8031003201,"Census Tract 32.01, Denver County, Colorado",1957,7
1400000US08031003202,8031003202,"Census Tract 32.02, Denver County, Colorado",1964,2
1400000US08031003203,8031003203,"Census Tract 32.03, Denver County, Colorado",1939-,***
1400000US08031003300,8031003300,"Census Tract 33, Denver County, Colorado",1939-,***
1400000US08031003401,8031003401,"Census Tract 34.01, Denver County, Colorado",1962,11
1400000US08031003402,8031003402,"Census Tract 34.02, Denver County, Colorado",1939-,***
1400000US08031003500,8031003500,"Census Tract 35, Denver County, Colorado",1947,4
1400000US08031003601,8031003601,"Census Tract 36.01, Denver County, Colorado",1939-,***
1400000US08031003602,8031003602,"Census Tract 36.02, Denver County, Colorado",1945,2
